priority,category,person_id,name,our_dob,candidate_qids,first_candidate_url
1,verify-dob-single-pool,person-e6991323a879,Nguyễn Thành Nam,1966-08-13,Q10799490,https://www.wikidata.org/wiki/Q10799490
1,verify-dob-single-pool,person-ef37460f9395,Nguyễn Thị Huế,1984-01-04,Q10799613,https://www.wikidata.org/wiki/Q10799613
1,verify-dob-single-search,person-bbee9c8262d9,Nguyễn Thị Hồng Hạnh,1974-01-11,Q85866722,https://www.wikidata.org/wiki/Q85866722
1,verify-dob-single-pool,person-2e2d29509887,Nguyễn Thị Kim Bé,1968-09-10,Q10799634,https://www.wikidata.org/wiki/Q10799634
1,verify-dob-single-pool,person-1ee3626e08ab,Nguyễn Thị Kim Thúy,1967-09-11,Q10799642,https://www.wikidata.org/wiki/Q10799642
1,verify-dob-single-pool,person-381ebff74c3d,Nguyễn Thị Lan,1974-05-10,Q10799644,https://www.wikidata.org/wiki/Q10799644
1,verify-dob-single-search,person-541458f7b6c4,Nguyễn Thị Lệ Thủy,1968-01-31,Q30921867,https://www.wikidata.org/wiki/Q30921867
1,verify-dob-single-pool,person-712837e5013e,Nguyễn Thị Mai Hoa,1967-04-22,Q10799656,https://www.wikidata.org/wiki/Q10799656
1,verify-dob-single-search,person-d5a8ae369a0c,Nguyễn Thị Minh Trang,1979-05-16,Q30921952,https://www.wikidata.org/wiki/Q30921952
1,verify-dob-single-pool,person-1d4305a75bbe,Nguyễn Thị Thu Thủy,1976-08-07,Q10799712,https://www.wikidata.org/wiki/Q10799712
1,verify-dob-single-pool,person-81bdf896670d,Nguyễn Thị Tuyết Nga,1971-04-26,Q10799726,https://www.wikidata.org/wiki/Q10799726
1,verify-dob-single-search,person-3cdc87d51d03,Nguyễn Thị Việt Nga,1976-09-29,Q47506289,https://www.wikidata.org/wiki/Q47506289
1,verify-dob-single-pool,person-9297aee0db0c,Nguyễn Tân Cương,1966-02-12,Q20025996,https://www.wikidata.org/wiki/Q20025996
1,verify-dob-single-pool,person-376b6e952e68,Nguyễn Tạo,1963-06-16,Q130386977,https://www.wikidata.org/wiki/Q130386977
1,verify-dob-single-pool,person-c357b9f579a5,Nguyễn Vân Chi,1966-09-17,Q10799877,https://www.wikidata.org/wiki/Q10799877
1,verify-dob-single-pool,person-f9ade70d0db6,Nguyễn Văn Hùng,1961-04-20,Q10799911,https://www.wikidata.org/wiki/Q10799911
1,verify-dob-single-pool,person-81c6d5c17701,Nguyễn Văn Thuận,1965-12-08,Q10799983,https://www.wikidata.org/wiki/Q10799983
1,verify-dob-single-pool,person-e16632e06f7f,Nguyễn Văn Thuận,1958-01-15,Q10799983,https://www.wikidata.org/wiki/Q10799983
1,verify-dob-single-pool,person-cbdd3451fc4f,Nguyễn Văn Thân,1955-02-02,Q10799987,https://www.wikidata.org/wiki/Q10799987
1,verify-dob-single-search,person-f62f07c863a1,Nguyễn Xuân Dắt,1967-01-14,Q61129337,https://www.wikidata.org/wiki/Q61129337
1,verify-dob-single-search,person-fb2c29f023a5,Nguyễn Đình Khang,1967-05-23,Q30919781,https://www.wikidata.org/wiki/Q30919781
